categorie|marque|nom|nutritionGradeFr|ingredients|energie100g|graisse100g|sucres100g|fibres100g|proteines100g|sel100g|vitA100g|vitD100g|vitE100g|vitK100g|vitC100g|vitB1100g|vitB2100g|vitPP100g|vitB6100g|vitB9100g|vitB12100g|calcium100g|magnesium100g|iron100g|fer100g|betaCarotene100g|presenceHuilePalme|allergenes|additifs|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aides culinaires|Minoterie Prunault|Préparation pour brioche|c|Farine de _blé_, Sucre de canne blond, _œuf_ en poudre, Levure boulangère, Sel de guérande.|1531|4.17|21|4.33|14.2|1.2|||||||||||||||||0|blé, œuf||,,,,,,,,,,,,,,,,,,,,,,,,
Aides culinaires|Picard|Préparation pour Cocktail Piña Colada|c|Purée d'ananas 45 %, crème de coco 22 %, eau, sucre.|498|4.1|20||0.7|0.01|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,
Aides culinaires|Sainte Lucie|Fixateur pour Crème Chantilly|c|Amidon, dextrose, gélifiant : carraghénanes, arôme.|1523|0.1|12.9||0.4|0.7|||||||||||||||||0||E407 - Carraghénanes|,,,,,,,,,,,,,,,,,,,,,,,,,,
Aides culinaires|Sainte Lucie|Amandin|a|_Amandes_ en poudre, farine spécifique de _blé_, arôme naturel.|1997|27|2.7|5.1|19|0||||||||||||0.124|||0.0023||0|Amandes, blé||,,,,,,,,,,,,,,,,,,,,,,,,,,
Aides culinaires|U|Eclats de sucre tutti frutti|d|Sucre 95%, beurre de cacao, sirop de glucose, régulateur d'acidité: acide citrique, arôme naturel, colorant: lutéine, jus concentré de sureau. Traces éventuelles de céréales contenant du gluten, de lait et de soja.|1752|3|95|0.5|0.5|0.02|||||||||||||||||0||E161b - Lutéine,E330 - Acide citrique|,,,,,,,,,,,,,,,,,,,,,
Aides culinaires|U|Crayon Pâtissier Rouge|e|sirop de glucose, sucre, eau, amidon transformé de maïs, colorant: anthocyanes, épaississant: carraghénanes, acidifiant: acide citrique, sel, conservateur: sorbate de potassium. Traces éventuelles de lait, fruits à coque et de soja.|1234|0.5|50|1.2|0.5|3.3|||||||||||||||||0||E14XX - Amidons modifiés,E163 - Anthocyanes,E202 - Sorbate de potassium,E330 - Acide citrique,E407 - Carraghénanes|,,,,,,,,,,,,,,,,
Aides culinaires|U|Crayon pâtissier marron|e|Sucre, huile de palme, pâte de NOISETTE 14%, poudre de LACTOSERUM, cacao maigre en poudre 6%, émulsifiant : lécithine de SOJA, extrait de vanille.|2288|32|55|3.6|4.9|0.01|||||||||||||||||1|en:milk,en:nuts,en:soybeans|E322 - Lécithines,E322i - Lécithine|,,,,,,,,,,,,,,,,,,,,
Aides culinaires|Vahiné|Préparation pour nappage|e|Dextrose, gélifiant: pectine, acidifiant: acide citrique, épaississants: gomme guar, carraghénanes, gomme xanthane, caramel.|1377|0|72.5||0.4|2.3|||||||||||||||||0||E330 - Acide citrique,E341 - Phosphates de calcium,E341iii - Phosphate tricalcique,E407 - Carraghénanes,E412 - Gomme de guar,E415 - Gomme xanthane,E440 - Pectines,E440i - Pectine,E450 - Sels métalliques de diphosphates,E450i - Pyrophosphate de sodium acide|,,,,,,,,,,,,,,
Aides culinaires|Vahiné|Fix neige sachets 3x4g|d|Sucre, épaississants : gomme guar, gomme xanthane, correcteur d'acidité : acide citrique.|1657|0|96||0|0.09|||||||||||||||||0||E330 - Acide citrique,E412 - Gomme de guar,E415 - Gomme xanthane|,,,,,,,,,,,,,,,,,,,,,,,,
Aides culinaires|Vahiné|Tant Pour Tant|d|_Amande_ en poudre 50 %, sucre glace50_%.|2117|26|50||11|0.02|||||||||||||||||0|Amande, blé||,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aides culinaires|Vahiné|Chantifix|d|Sucre, amidon modifié, gélifiant : carraghénanes, arôme|1586|0|62.6||0.1|0.37|||||||||||||||||0||E14XX - Amidons modifiés,E407 - Carraghénanes|,,,,,,,,,,,,,,,,,,,,,,,,,
Aides culinaires|Vahiné,McCormick|Kit Galette des Rois Pralinée|d|Sucre, pralin, _amandes_ en poudre, _œuf_ entier en poudre, _noisette_ en poudre torréfiée, amidon modifié de maïs, _lait_ écrémé en poudre.|2205|29|49.5||14.3|0.16|||||||||||||||||0||E14XX - Amidons modifiés|,,,,,,,,,,,,,,,,,,,,,,
Aides culinaires|Vahiné,McCormick|Nappage Chocolat|d|Sirop de glucose-fructose, eau, poudre de cacao maigre, amidon modifié, chocolat, sel, émulsifiant : E471. arômes, correcteur d'acidité : citrate trisodique.|1125|1.3|58.7||1.7|0.57|||||||||||||||||0||E14XX - Amidons modifiés,E331 - Citrates de sodium,E331iii - Citrate trisodique,E471 - Mono- et diglycérides d'acides gras alimentaires|,,,,,,,,,,,,,,,,,,
Aliment-pour-enfant|Good Gout|Croustillants banane-Good Gout Kidz-110g|a|Farine de riz* 82 %, poudre de banane* 15%, sucre de canne roux clair**|1582|0.7|10.5|6.4|7.3|0.1|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Abbaye de Sept-Fons|Germe de Blé|a|Germe de _blé_* *Ingrédient d'origine agricole issu de l'agriculture biologique : 100%|1615|9.6|13|12|31|0.0499999999999999|||||||||||||||||0|blé||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Abbaye de Sept-Fons|Germafibre|a|Germe de _blé_, fibres de chicorée, fibres de pomme, _soja_, arôme naturel de pomme, arôme abricot.|1297|6.4|16|7.4|16|0.02|||0.001|||0.00018||||1e-05|||0.026||0.001||0|blé, soja||,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Agidra|Arachides Sucrées|e|_Arachide_ 60 %, sucre 40 %.|2226|28|44||15|0|||||||||||||||||0|Arachide||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Alpina|Couscous|a|Semoule de _blé_ dur de qualité supérieure issu de l'agriculture biologique.|1456|2|2.5|3|11|0|||||||||||||||||0|blé||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Aptonia|Ultra fruit jellies - Cassis Acelora Pomme|d|Pulpe de fruits 50 %, sucre, sirop de glucose de blé, maltodextrine 5 %, stabilisant : glycérol, gélifiant : pectine, arôme naturel de cassis, poudre d'acérola0.4 %, vitamines : B1. B6 et B12.|1382|0.5|63||0.5|0.09|||||0.048|0.00066|||0.00084||||||||0||E422 - Glycérol,E440 - Pectines,E440i - Pectine|,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Aptonia|Ultra fruit jellies cassis pomme acérola|c|pulpe de fruits 50%, sucre, sirop de glucose de blé, maltodextrine 5%, stabilisant : glycérol, gélifiant : pectine, arôme naturel de cassis, poudre d'acérola0.4%, acidifiant : acide citrique, vitamines B1. B6 et B12.|1360|0.5|63||0.5|0.09|||||||||||||||||0||E330 - Acide citrique,E422 - Glycérol,E440 - Pectines,E440i - Pectine|,,,,,,,,,,,,,,,,,
